Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation
2020,"6,33","6,61","5,16","9,25","6,17","4,46"
2019,"6,6","6,83","5,11","9,26","6,99","4,81"
2018,"6,58","6,74","5,19","9,27","6,96","4,76"
2017,"6,65","6,76","5,37","9,27","6,96","4,88"
2016,"6,44","6,69","5,48","9,04","6,73","4,28"
2015,"6,25","6,8","5,5","7,82","6,61","4,5"
2014,"6,43","6,9","5,58","7,94","6,75","4,97"
2013,"6,52","6,99","5,65","7,94","6,9","5,13"
2012,"6,66","7,33","5,91","7,92","6,94","5,18"
2011,"6,66","7,48","5,97","7,78","6,96","5,12"
2010,"6,68","7,47","5,85","7,79","7,04","5,25"
2009,"6,51","7,26","5,78","7,77","6,97","4,78"
2008,"6,5","7,31","5,68","7,69","7,05","4,79"
2007,"6,42","7,06","5,55","7,6","7,13","4,77"
2006,"6,4","7,04","5,46","7,62","7,33","4,55"
2005,"6,44","7,26","5,53","7,7","7,03","4,68"
2004,"6,24","6,98","5,15","7,5","6,66","4,9"
2003,"6,09","7,03","5,28","6,97","6,54","4,64"
2002,"6,31","7,16","5,32","7,4","6,67","5,03"
2001,"5,74","6,66","4,58","6,25","6,12","5,12"
2000,"5,77","6,66","4,67","6,09","5,89","5,54"
1995,"4,45","6,78","4,67",0,"5,58","5,23"
1990,"4,14","6,52","5,32",0,"4,28","4,59"
1985,"3,13","6,45","3,94",0,"0,94","4,32"
1980,"4,08",7,"3,9","1,58","3,24","4,67"
1975,"4,18","5,83","3,83","4,16","2,13","4,97"
1970,"5,01","6,61","3,33","5,89","4,27","4,96"
