Year,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights,3  Sound Money,4  Freedom to trade internationally,5  Regulation
2020,"7,82","5,65","7,71","9,82","7,78","8,12"
2019,"7,97","5,75","7,67","9,81","8,32","8,34"
2018,"7,98","5,80","7,66","9,78","8,28","8,36"
2017,"7,97","5,80","7,60","9,75","8,40","8,32"
2016,"7,95","5,77","7,63","9,74","8,37","8,24"
2015,"7,92","5,67","7,71","9,68","8,32","8,22"
2014,"7,85","5,93","7,71","9,61","8,17","7,80"
2013,"7,86","5,85","7,63","9,84","8,02","7,96"
2012,"7,84","6,09","7,55","9,88","7,69","7,99"
2011,"7,77","6,07","7,51","9,88","7,45","7,93"
2010,"7,85","6,01","7,58","9,90","7,72","8,01"
2009,"7,80","6,07","7,58","9,91","7,70","7,75"
2008,"7,90","6,43","7,68","9,84","7,54","8,00"
2007,"8,00","6,46","7,82","9,89","7,67","8,15"
2006,"7,99","6,45","7,80","9,90","7,59","8,23"
2005,"8,05","6,38","7,76","9,92","7,96","8,21"
2004,"8,04","6,29","7,57","9,74","8,73","7,85"
2003,"8,05","6,44","7,76","9,76","8,82","7,47"
2002,"7,88","6,07","7,53","9,70","8,58","7,49"
2001,"7,86","6,40","7,51","9,71","8,61","7,10"
2000,"8,06","6,43","7,88","9,80","8,68","7,52"
1995,"7,66","5,68","7,87","9,83","7,62","7,28"
1990,"8,11","6,53","7,73","9,64","9,08","7,59"
1985,"7,80","5,94","7,83","8,39","8,85","7,97"
1980,"7,45","5,44","7,91","8,01","7,95","7,92"
1975,"7,29","5,81","8,08","7,41","7,65","7,49"
1970,"7,31","7,88","7,62","6,50","7,01","7,53"
