Year,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights,3  Sound Money,4  Freedom to trade internationally,5  Regulation
2020,"6,48","6,52","4,84","8,27","6,92","5,88"
2019,"6,49","6,53","4,85","8,26","6,98","5,82"
2018,"6,66","7,03","4,77","8,35","7,17","5,98"
2017,"6,70","7,26","4,72","8,84","7,16","5,51"
2016,"6,97","7,23","4,94","9,02","7,10","6,56"
2015,"6,99","7,31","5,00","9,08","7,12","6,44"
2014,"6,98","7,25","4,90","9,03","7,17","6,56"
2013,"7,00","7,25","5,09","9,03","7,10","6,50"
2012,"7,10","7,46","5,30","8,95","7,15","6,63"
2011,"7,10","7,53","5,32","8,96","7,13","6,58"
2010,"6,97","7,28","5,22","8,80","7,24","6,32"
2009,"6,90","7,10","5,39","8,78","7,30","5,95"
2008,"6,97","7,60","5,40","8,46","7,19","6,20"
2007,"6,52","7,82","5,39","6,54","6,97","5,85"
2006,"6,39","7,85","5,82","5,57","7,03","5,68"
2005,"6,35","8,19","5,97","4,94","6,97","5,71"
2004,"6,13","8,09","5,73","5,05","6,59","5,18"
2003,"6,04","7,79","5,48","4,88","6,67","5,37"
2002,"5,75","7,36","5,44","4,06","6,59","5,31"
2001,"5,44","7,02","5,00","3,59","6,53","5,07"
2000,"5,61","7,22","5,05","3,57","6,62","5,60"
1995,"5,88","7,29","5,39","3,21","7,15","6,36"
1990,"5,18","6,38","5,12","3,73","5,40","5,28"
1985,"4,71","6,23","4,55","2,21","5,52","5,04"
1980,"3,69","5,51","4,44","0,74","3,43","4,33"
1975,"4,43","5,55","4,55","4,50","3,04","4,53"
1970,"4,08","7,28","4,65","4,11","0,28","4,10"
